Reporting Period,Project Number,Legacy Project Number,City
6/30/21,295870,,Queens
6/30/21,244188,,West Islip
6/30/21,59097,4564-82790,Valhalla
6/30/21,238605,,South Ozone Park
6/30/21,291623,,Chappaqua
6/30/21,212517,,Queens
6/30/21,264505,,Brooklyn
6/30/21,61735,4154-89520,Baldwin
6/30/21,8335,5023-71325,Dix Hills
6/30/21,148263,,QUEENS VILLAGE
6/30/21,69216,,Long Beach
6/30/21,2555,2259,Stanley
6/30/21,297601,,Saint Albans
6/30/21,154177,,Yonkers
6/30/21,79039,,Gansevoort
6/30/21,47007,5321-0186-Financing,Brentwood
6/30/21,154905,,Farmingdale
6/30/21,181205,,Staten Island
6/30/21,69103,,Bay Shore
6/30/21,264817,,Queens
6/30/21,266838,,Chittenango
6/30/21,275508,,Wyandanch
6/30/21,221981,,Bronx
6/30/21,311424,,Great Neck
6/30/21,56222,4704-70031,Central Islip
6/30/21,135772,,Buffalo
6/30/21,127676,,Lockport
6/30/21,116996,,Queens
6/30/21,270633,,Staten Island
6/30/21,10509,4355-0191-Financing,Hicksville
6/30/21,259361,,Staten Island
6/30/21,256043,,Brooklyn
6/30/21,187264,,LARCHMONT
6/30/21,9804,4629-89582-GJ,New Hyde Park
6/30/21,44330,5137-92800,New Hyde Park
6/30/21,218477,,Seneca Falls
6/30/21,263171,,Brooklyn
6/30/21,2416,17946-99,Circleville
6/30/21,282570,,Staten Island
6/30/21,188412,,Jamaica
6/30/21,271595,,Staten Island
6/30/21,236927,,Brooklyn
6/30/21,21864,5159-60281,Levittown
6/30/21,249932,,Hauppauge
6/30/21,46930,4160-0148-Financing,New Hyde Park
6/30/21,79672,,Oceanside
6/30/21,221894,,Commack
6/30/21,307697,,Seaford
6/30/21,167737,,flushing
6/30/21,306330,,East Meadow
6/30/21,29643,4704-50592,Hicksville
6/30/21,261217,,Queens
6/30/21,309211,,Jamaica
6/30/21,254119,,Brooklyn
6/30/21,276548,,Flushing
6/30/21,72295,,Selden
6/30/21,290188,,Purchase
6/30/21,313740,,Kingston
6/30/21,9361,4968-84518,Lindenhurst
6/30/21,61884,5098-89702,Smithtown
6/30/21,38701,4704-76817,Westbury
6/30/21,304950,,Massapequa
6/30/21,181208,,farmingdale
6/30/21,260026,,Miller Place
6/30/21,171180,,Staten Island
6/30/21,59064,5098-84351,Franklin Square
6/30/21,312484,,Staten Island
6/30/21,36674,4502-69233,Rocky Point
6/30/21,176408,,Melville
6/30/21,8639,4355-77006-GJ,Levittown
6/30/21,244927,,Brooklyn
6/30/21,66079,4704-946,Poughkeepsie
6/30/21,68604,,Sayville
6/30/21,174935,,Bronx
6/30/21,304137,,Levittown
6/30/21,283116,,Jefferson Valley-Yorktown
6/30/21,271856,,Islandia
6/30/21,278700,,Baldwin
6/30/21,289470,,Medford
6/30/21,36247,4704-66697,Babylon
6/30/21,54509,4160-68605,Lindenhurst
6/30/21,278170,,Brooklyn
6/30/21,256084,,Rosedale
6/30/21,182197,,BROOKLYN
6/30/21,82076,,New City
6/30/21,77677,,Jamaica
6/30/21,297315,,Brooklyn
6/30/21,215541,,W Babylon
6/30/21,268911,,Brooklyn
6/30/21,40828,4704-80866,Valley Cottage
6/30/21,266016,,Queens
6/30/21,299915,,Bronx
6/30/21,45059,4944-94870,West Babylon
6/30/21,147005,,Queens
6/30/21,259916,,Jamaica
6/30/21,115335,,WHITE PLAINS
6/30/21,116083,,STATEN ISLAND
6/30/21,63524,4704-94937XX,Massapequa
6/30/21,51079,4355-96014,Rocky Point
6/30/21,281555,,Bronx
6/30/21,9457,5159-84281,Elmont
6/30/21,273129,,Queens
6/30/21,186984,,Yonkers
6/30/21,9228,4355-82286-GJ,Patchogue
6/30/21,117941,,Flushing
6/30/21,63809,4704-96234,Franklin Square
6/30/21,264537,,Brooklyn
6/30/21,237261,,Brooklyn
6/30/21,240613,,Queens
6/30/21,213161,,Dix Hills
6/30/21,279400,,Springfield Gardens
6/30/21,47618,4154-0226-Financing,East Islip
6/30/21,311562,,Brooklyn
6/30/21,46750,5405-0108-Financing,Holtsville
6/30/21,233685,,Massapequa
6/30/21,2343,17942-36,Bearsville
6/30/21,65334,4704-100821,Troy
6/30/21,121937,,Bellmore
6/30/21,165536,,Middletown
6/30/21,302784,,Brooklyn
6/30/21,72853,,Mineola
6/30/21,251595,,Old Bethpage
6/30/21,281716,,Port Chester
6/30/21,207815,,Brooklyn
6/30/21,262659,,Brooklyn
6/30/21,270879,,Brooklyn
6/30/21,41111,4944-94852,Central Islip
6/30/21,49619,4355-89619-GJ,East Moriches
6/30/21,73546,,Whitestone
6/30/21,223178,,Franklin Square
6/30/21,301430,,Dobbs Ferry
6/30/21,292104,,Bronx
6/30/21,273826,,Yonkers
6/30/21,295783,,Brooklyn
6/30/21,191828,,Staten Island
6/30/21,219636,,Pittsford
6/30/21,2403,17946-67,Queensbury
6/30/21,37974,4704-73015,Amityville
6/30/21,2512,142-1,LaFargeville
6/30/21,97382,,Malone
6/30/21,270693,,Brooklyn
6/30/21,126073,,Laurelton
6/30/21,101767,,Garnerville
6/30/21,59685,4704-81469,West Hempstead
6/30/21,276290,,South Ozone Park
6/30/21,8599,4704-76809,Brentwood
6/30/21,76186,,Patchogue
6/30/21,242350,,Ossining
6/30/21,254314,,Brooklyn
6/30/21,96514,,Queens
6/30/21,40449,4704-80181,Valley Stream
6/30/21,70889,,Oceanside
6/30/21,55263,5098-66930,Huntington Station
6/30/21,211118,,Syosset
6/30/21,65907,4355-0353-Financing,North Babylon
6/30/21,92633,,Staten Island
6/30/21,187871,,Bronx
6/30/21,312057,,Staten Island
6/30/21,110976,,Queens
6/30/21,283318,,Corona
6/30/21,41285,4944-82336,Bay Shore
6/30/21,43036,4704-88292,Brentwood
6/30/21,99188,,Brooklyn
6/30/21,42790,4704-87556,Bayville
6/30/21,129025,,RENSSELAER
6/30/21,303421,,Bronx
6/30/21,87410,,NORTH BELLMORE
6/30/21,185736,,Jamaica
6/30/21,302680,,Flushing
6/30/21,258648,,Roslyn Heights
6/30/21,302467,,Goshen
6/30/21,266371,,Springfield Gardens
6/30/21,46702,4629-0142-Financing,Mastic
6/30/21,183159,,West Islip
6/30/21,223030,,Jamaica
6/30/21,204805,,Saint Albans
6/30/21,254545,,Islip Terrace
6/30/21,289183,,Flushing
6/30/21,46085,4704-80097,Roosevelt
6/30/21,191971,,Dobbs Ferry
6/30/21,62064,4704-89941,Uniondale
6/30/21,16958,4704-48585,Selden
6/30/21,206437,,Port Jefferson Station
6/30/21,188393,,Long Beach
6/30/21,251426,,Patchogue
6/30/21,231105,,Wantagh
6/30/21,115879,,Port Jervis
6/30/21,162316,,Whitestone
6/30/21,168321,,Bronx
6/30/21,233956,,West Hempstead
6/30/21,41269,4704-81914,Valley Falls
6/30/21,157097,,Jamaica
6/30/21,294580,,Bronx
6/30/21,175753,,Queens
6/30/21,121901,,Bronx
6/30/21,157437,,Levittown
6/30/21,83764,,Queens
6/30/21,61427,5098-88293,Levittown
